up,share_data
原神,6559366
崩坏星穹铁道,3573284
衣戈猜想,3072330
哦呼w,1982875
崩坏3第一偶像爱酱,1865968
小潮院长,1602717
一只风风o,1440342
杰威尔音乐,1362383
明日方舟,1327467
老番茄,1249891
