up,coin_data
小潮院长,23558968
老番茄,15208508
原神,12345013
盗月社食遇记,12062571
老师好我叫何同学,11294368
小约翰可汗,8960379
衣戈猜想,8552603
影视飓风,8399792
绵羊料理,8074765
木鱼水心,7365720
