"up","time","title","view","danmaku","reply","favorite","coin","share","like","dislike","tname","his_rank"
"导演小策","2022第169期 06.10 - 06.16","【广场往事】我 和 我 的 怨 种 外 甥 ！","7023862","41623","8459","71977","260185","28034","438963","0","搞笑","4"
"小芃路子野","2022第169期 06.10 - 06.16","绝命毒师安陵容","9313249","7869","7116","117738","143207","216424","655140","0","搞笑","1"
"永琪吗","2022第169期 06.10 - 06.16","当代年轻人的两幅面孔","7257420","2858","3492","63812","35795","55462","799750","0","搞笑","3"
"小约翰可汗","2022第169期 06.10 - 06.16","一个美国人如何走遍长城？【小约翰】","4306342","27464","8199","68211","265962","10242","361260","0","人文历史","4"
"新谷葉葉子","2022第169期 06.10 - 06.16","【原创动画短片】《怪美的》|容貌焦虑到极点的她竟然！？-暨南大学动画专业毕设短片","2202396","4942","5118","49296","36248","12956","178688","0","短片·手书","41"
"盖里老哥","2022第169期 06.10 - 06.16","反整蛊！假装在外面不经意叫女友一声“嫂子”？让她体验彻底社死！用女友的方法整她！","4744255","9212","3691","21884","107784","24802","293915","0","搞笑","10"
"罗翔说刑法","2022第169期 06.10 - 06.16","【罗翔】令人愤怒的唐山打人案涉及什么犯罪？","24746467","175755","66368","410418","1551565","339184","2842027","0","社科·法律·心理","1"
"枫孑轩","2022第169期 06.10 - 06.16","约尔：我只教一次，看好了吉克耶格尔，球是这样投的 ！！","5155630","2377","3130","90095","110916","29483","361989","0","MAD·AMV","6"
"神奇的老皮","2022第169期 06.10 - 06.16","真人卡牌特效 大乱斗！","5462574","13616","6632","108583","342789","71545","427369","0","桌游棋牌","1"
"画画的老张和面包","2022第169期 06.10 - 06.16","一场跨越百年的对话，我们要结婚啦","5849548","7303","3243","154804","328771","8028","974688","0","绘画","3"
"绝区零","2022第169期 06.10 - 06.16","《绝区零》全新战斗演示PV | 3、2、1……11","7185822","7971","19022","58716","93484","65261","501535","0","手机游戏","5"
"阿彭彭阿","2022第169期 06.10 - 06.16","皇 帝 蟹 天 花 板","5846810","8092","2511","49950","297594","10583","524215","0","美食制作","7"
"WOTE逃离地球乐队","2022第169期 06.10 - 06.16","Bet On Me的夏日打开方式，泳池也能变舞台！","5780432","3253","3217","361649","154559","34327","1101442","0","原创音乐","10"
"司墨尧smile","2022第169期 06.10 - 06.16","【语文】“我是现代人，不懂现代文”","5481332","2951","3446","141603","62151","28652","563283","0","原创音乐","23"
"王者荣耀","2022第169期 06.10 - 06.16","新宫本武藏CG《无双》——朝一个方向走下去，就总有相见的那天","10160731","33715","25863","107200","140326","101656","415292","0","电子竞技","10"
"演员陆二喜","2022第169期 06.10 - 06.16","鸡汤来咯！","16234879","18008","21663","436223","455214","99751","1642473","0","明星综合","2"
"巴比伦塔1","2022第169期 06.10 - 06.16","【手书】人渣过家家","1346286","687","1260","47344","29143","5835","119949","0","短片·手书","0"
"张若宇","2022第169期 06.10 - 06.16","我收了那么多年的小麦享受享受怎么了！","10289421","1778","2672","63710","37611","24199","934963","0","搞笑","1"
"黑猫厨房","2022第169期 06.10 - 06.16","真的有人吃这玩意吗！？","4786796","6762","1664","40561","179083","1807","394650","0","美食制作","11"
"猫不理咖啡","2022第169期 06.10 - 06.16","小丑竟然是我自己？","4957070","2303","2310","28157","73832","1725","560763","0","喵星人","9"
"大天搞笑配音","2022第169期 06.10 - 06.16","小动物们，每天都很开心","10090640","2761","1543","54777","20058","22305","758664","0","搞笑","8"
"我是郭杰瑞","2022第169期 06.10 - 06.16","在亚马逊雨林抓捕食人鱼！食人鱼真的会吃人吗？","2230367","9943","2760","7604","42069","3753","181006","0","日常","27"
"TheShy","2022第169期 06.10 - 06.16","我 要 成 为 上 单 巨 星【TheShy的奇妙冒险】","3745676","7117","4074","44207","150664","19774","276000","0","电子竞技","15"
"三棱镜D-PRISM","2022第169期 06.10 - 06.16","【明日方舟×死亡搁浅】“冥滩遣行”限时活动宣传PV","1772738","2314","4649","62265","117538","29345","186364","0","手机游戏","16"
"小小段砸","2022第169期 06.10 - 06.16","《大学生讽高考生纳谏——大学篇》","1803379","5781","7559","24246","34636","20840","165790","0","搞笑","26"
"翠花不太脆","2022第169期 06.10 - 06.16","“你说爱是这个世上最锋利的凶器”","4255267","3334","5093","142189","143377","36067","254588","0","原创音乐","28"
"Suzy_Z_","2022第169期 06.10 - 06.16","【Suzy】爆肝168小时！挑战女妖仿妆冠军？吉巴罗看了都要愣三秒","1729448","1289","981","18580","46293","2517","94989","0","仿妆cos","0"
"不普通人类实录","2022第169期 06.10 - 06.16","Tank：周杰伦接班人？别cue我，只想安静复出","1325625","7388","5970","14045","64259","6605","109872","0","音乐综合","36"
"雨说体育徐静雨","2022第169期 06.10 - 06.16","【徐静雨】勇士总冠军，库里夺得FMVP，小球王者诠释真正的领袖意义！","1616983","9218","8889","10392","51815","4601","85373","0","篮球","48"
"呵云xuunxix","2022第169期 06.10 - 06.16","君の名は…宫本武藏","1385537","1317","3685","31602","35748","12152","106891","0","短片·手书","52"
"韩红工作室","2022第169期 06.10 - 06.16","韩红现身虚拟乐队音乐MV","2248903","1021","1562","42321","107603","2021","448437","0","MV","7"
"文不叮","2022第169期 06.10 - 06.16","他拍上镜绝学！告别原相机变丑！拍毕业照 结婚照 给我看！","3895484","1218","1183","300978","78674","33014","295840","0","美妆护肤","23"
"山城小栗旬的理发日记","2022第169期 06.10 - 06.16","b站粉丝总和快2千万的up主在一起吃饭会是什么场面","2157179","6887","1808","10370","46860","2527","165991","0","美妆护肤","53"
"天才小熊猫本人","2022第169期 06.10 - 06.16","千万不要随便帮孩子做衣服","4022387","6629","3207","26065","64812","17464","408816","0","搞笑","12"
"影视飓风","2022第169期 06.10 - 06.16","电影前几秒都在看啥？不起眼的片头，背后有什么故事？","2135462","12283","2161","48961","116461","4104","245627","0","影视杂谈","13"
"央视新闻","2022第169期 06.10 - 06.16","横扫世界第一！中国男排爆冷战胜巴西","1292717","3551","5243","6444","15114","7334","113536","0","社会","56"
"叶无趣","2022第169期 06.10 - 06.16","彩铅画一个《梦华录》中的刘亦菲/赵盼儿","1164628","3444","3681","22464","73525","13901","126975","0","绘画","52"
"STN工作室","2022第169期 06.10 - 06.16","【STN快报第六季33】三上不仅头没了，卡普空还给他换了个头","1519238","11836","2045","19284","77713","2269","106555","0","单机游戏","22"
"波也制造","2022第169期 06.10 - 06.16","软陶还原《我的世界》自然景观","2243930","930","1038","24315","7636","1404","229182","0","手工","0"
"终极小腾","2022第169期 06.10 - 06.16","机场取个超大快递什么体验？未来奥迪终于到国内了！","5558863","5941","2795","51433","51754","10354","303754","0","汽车生活","25"
"Parion圆周率","2022第170期 06.17 - 06.23","珍贵影像《优雅嘲讽》","13821265","50085","10068","737447","1052272","123071","1356994","0","搞笑","3"
"快乐的台长","2022第170期 06.17 - 06.23","老师：毕业答辩可以穿的朴素一点","26946824","9943","5371","332850","184906","81271","1578695","0","搞笑","1"
"Ksr桑","2022第170期 06.17 - 06.23","一直在摇可乐的阿尼亚！！","5364130","2899","2567","238356","469568","6870","469105","0","短片·手书","4"
"哔哩哔哩弹幕网","2022第170期 06.17 - 06.23","哔哩哔哩2022毕业歌《光阴的故事2022》| 罗大佑×易烊千玺","3324393","22930","10433","50933","73816","43229","149532","0","原创音乐","8"
"老实人张精贵","2022第170期 06.17 - 06.23","燕 子 你 还 了 钱 再 走","9838016","11268","4748","130671","118114","90713","494145","0","鬼畜剧场","4"
"敬汉卿","2022第170期 06.17 - 06.23","我花了一百万做了一件特别有意义的事情","3610056","7345","6000","102137","742614","5066","714596","0","日常","1"
"某幻君","2022第170期 06.17 - 06.23","毕业十年做套高考卷子看看自己几斤几两","2644746","22418","5332","33142","60240","8086","211709","0","搞笑","15"
"老番茄","2022第170期 06.17 - 06.23","王！八！剑！法！【剑圣②】","4892734","12728","3531","80206","196026","4271","510279","0","单机游戏","1"
"小潮院长","2022第170期 06.17 - 06.23","汤","22771208","86504","11917","230945","231583","42075","747658","0","搞笑","2"
"谭维维","2022第170期 06.17 - 06.23","山海","7394694","40474","40862","188632","266565","65990","449549","0","音乐现场","1"
"Ukismeadow","2022第170期 06.17 - 06.23","【原神夏日放映节】动画短片：无法忘记的事","4439483","10080","6912","321953","338241","74182","542625","0","短片·手书","3"
"麟宣森","2022第170期 06.17 - 06.23","我真服了这老六！这玩意敢卖10块一桶？血亏。。。","6229282","5759","1166","46452","223320","4536","406497","0","美食制作","7"
"布锅锅","2022第170期 06.17 - 06.23","先攻之王世界纪录：一次先攻偷202694金币！史上最高爆发英雄竟然是？","5322842","17951","3888","35852","123857","28609","328184","0","电子竞技","4"
"破阵子l","2022第170期 06.17 - 06.23","狗头吧的入学小测试！","7973023","6118","5021","65662","128365","57109","464584","0","电子竞技","4"
"人民日报","2022第170期 06.17 - 06.23","青春的样子！青岛大学2022届毕业典礼歌曲串烧再次点燃全场","4433038","39521","6760","70787","110882","73352","209846","0","音乐现场","12"
"那就叫王师傅吧","2022第170期 06.17 - 06.23","如何给他人留下深刻印象","9647837","5793","4753","61677","30664","35365","731296","0","日常","4"
"白林Bylin","2022第170期 06.17 - 06.23","用【青花瓷】演奏【青花瓷】","11806968","7594","4884","80799","251360","42752","1075367","0","演奏","10"
"红胡子老爹定格工坊","2022第170期 06.17 - 06.23","生食三文鱼【定格动画】","4347661","1770","2015","56610","42323","9187","677660","0","手工","10"
"papi酱","2022第170期 06.17 - 06.23","把钱交给妈妈——没人能拒绝的理财方式","4056133","3838","5835","30756","52370","61511","453852","0","搞笑","4"
"博舒","2022第170期 06.17 - 06.23","当你待在一个艺术家工作室","5344017","5325","2085","69567","122871","11769","564949","0","绘画","7"
"祁么么mo","2022第170期 06.17 - 06.23","抓一把沙子写字？难度等级SSS","4792954","11917","2712","36655","49297","4193","416259","0","手工","29"
"演员陆二喜","2022第170期 06.17 - 06.23","你眼中的穿山甲vs实际生活中的穿山甲","4520806","8619","6776","57150","66106","12172","450887","0","明星综合","5"
"漾少侠","2022第170期 06.17 - 06.23","不让九条睡觉的荒泷一斗","2700065","2360","2261","62883","27173","36463","242012","0","MMD·3D","36"
"画渣花小烙","2022第170期 06.17 - 06.23","【花小烙】输液的时候如果气泡进入了血管里会怎么样？","14965051","7470","6401","103004","110633","8153","944543","0","科学科普","1"
"兰音Reine","2022第170期 06.17 - 06.23","『探窗』绝美戏腔演唱“一句一叹戏里有情痴”","11446543","10267","12274","319064","309340","53176","715705","0","翻唱","5"
"有美妈手工","2022第170期 06.17 - 06.23","涨姿势，一张纸居然可以如此有趣的蹂躏。抗应力变压器！","5793757","1375","3296","551839","72724","18766","569337","0","手工","2"
"超想吃番茄","2022第170期 06.17 - 06.23","【一斗金曲/刘照坤】天  下  第  一  斗 / 原神cv原创曲","2881723","6599","4979","115577","151602","31892","266159","0","原创音乐","8"
"鹤吱菌","2022第170期 06.17 - 06.23","高考迟到了，但 没 关 系","5508121","7634","3551","51094","90764","4705","476920","0","校园学习","6"
"盗月社食遇记","2022第170期 06.17 - 06.23","在重庆当小学生有多爽？花光50元，我竟在校门口连吃一整天...！","5035047","19390","4541","28497","104045","13670","244173","0","美食侦探","15"
"地球知识局","2022第170期 06.17 - 06.23","中国气候异常背后的底层地理逻辑，究竟是什么？【地球知识局】","1764421","4502","3593","55719","56125","21248","112064","0","科学科普","0"
"天橙U","2022第170期 06.17 - 06.23","【Rick and Morty/瑞克和莫蒂手书】The Other Side Of Paradise 再见了 我那婴儿蓝眼眸的挚爱","2974766","1930","3030","168701","173026","16833","353934","0","短片·手书","13"
"MEspace天植","2022第170期 06.17 - 06.23","apple pencil拍了拍b站并问：你是谁？","5194136","3404","2574","154772","62884","10256","784747","0","绘画","11"
"二喵的饭","2022第170期 06.17 - 06.23","离开月租20000的市中心，我用省下的房租爆装了新厨房！！","4377740","6798","3029","40116","154940","4177","404793","0","家居房产","5"
"S_zde菠萝桑","2022第170期 06.17 - 06.23","养...养错女儿了！！！！『魔改动画』","2457965","3602","2785","96187","172546","32199","256671","0","综合","9"
"阳光男孩小丑熊","2022第170期 06.17 - 06.23","《万一赢了呢？》","2533014","12572","3624","20033","49635","7603","220390","0","电子竞技","36"
"知了解压萌物","2022第170期 06.17 - 06.23","被当成工具使用！那些小动物中的受气包","5132910","5768","1349","30125","28543","6658","476759","0","动物二创","0"
"水果猎人杨晓洋","2022第170期 06.17 - 06.23","【水果猎人】鉴定网络胡说八道之“泡药榴莲”","4445729","2131","2363","24718","5009","2975","466022","0","科学科普","9"
"机智的Kason","2022第170期 06.17 - 06.23","人手一个胡桃摇玩具！就是这么简单！","2546606","3308","4354","59496","69207","15816","164185","0","手工","25"
"肉肉大搜索","2022第170期 06.17 - 06.23","柳州小巷“炸了20多年的老炸鸡”，一口下去好酥脆","3792190","5866","3678","22517","23731","24602","168520","0","美食侦探","60"
"MrMiss刘恋杜凯","2022第170期 06.17 - 06.23","【梦 中 人】薛凯琪刘恋","3860608","21795","15178","92635","149090","88264","188658","0","音乐现场","18"
"河大基础医学院丁勇","2022第170期 06.17 - 06.23","常见维生素缺乏的症状","4227384","11988","7241","153897","67970","77844","160572","0","科学科普","18"
"城市里的动物","2022第170期 06.17 - 06.23","⚡️模范父母⚡️","4235682","7927","3313","91457","66649","15883","449217","0","动物二创","84"
"HOLA小测佬","2022第170期 06.17 - 06.23","德国人竟然把剩菜做成了盲盒，3块钱抽到12个面包！血赚！","6565783","12654","4256","64014","47769","9912","445476","0","美食侦探","37"
"原来是翔翔啊","2022第170期 06.17 - 06.23","3万块买的宝马3系，已经快被修理厂修废了……","1903353","3816","1450","17853","27112","1388","241701","0","改装玩车","0"
"史蒂猪StevenPig","2022第171期 06.24 - 06.30","什么是肝帝？他说.....","17834134","16844","4291","468857","276791","25206","1439141","0","单机游戏","2"
"红豆稀饭中","2022第171期 06.24 - 06.30","🐓鸡你太美，但是二次元🐓","16182131","38113","32829","419625","510287","263115","1137502","0","鬼畜调教","1"
"碎嘴企鹅","2022第171期 06.24 - 06.30","别难过啦，没事我考的比你还惨","7207877","10403","25981","144243","137549","47681","941347","0","搞笑","1"
"姬一元","2022第171期 06.24 - 06.30","“雪糕刺客”？这些天价网红雪糕吃起来究竟怎样？#第六弹！","9444125","23554","12513","220104","510150","5728","637337","0","美食测评","6"
"老番茄","2022第171期 06.24 - 06.30","中了几箭而已，问题不大【剑圣③】","4969550","10697","4259","56402","165137","3619","485041","0","单机游戏","4"
"衣戈猜想","2022第171期 06.24 - 06.30","如何科学的护理产后母猪？","3210471","14455","6054","61941","143893","99197","252338","0","科学科普","15"
"茄茄茄-","2022第171期 06.24 - 06.30","【树叶 白姨】鬼畜大电影     《天 弃 之 子》","5776324","45791","9346","263830","632746","118752","628419","0","电子竞技","3"
"三宋在这","2022第171期 06.24 - 06.30","我和女朋友，被房贷改变的这三年","9553143","32478","32477","215021","831618","165515","758533","0","日常","1"
"含亮老师","2022第171期 06.24 - 06.30","中国人修仙这件事是瞒不住了！","4599896","11545","8027","89487","125380","28913","542909","0","运动综合","32"
"万灵缝合厂","2022第171期 06.24 - 06.30","嘎狼 II","9936065","14452","3085","145869","114423","34362","854730","0","鬼畜剧场","2"
"木鱼水心","2022第171期 06.24 - 06.30","水浒最具争议剧情之一！《水浒传》P27","3372746","56106","10525","61397","374353","5090","406353","0","影视杂谈","3"
"NIJISANJI","2022第171期 06.24 - 06.30","Luxiem 第2张单曲-「Jazz on the Clock!!（时钟爵士）」 (Official Music Video) | NIJISANJI EN","4660814","89806","13723","256180","259060","67589","389275","0","原创音乐","3"
"往来无白嫖","2022第171期 06.24 - 06.30","〖误解向〗如果领养的女儿是小埋","6967032","6864","5595","195863","245576","112512","739888","0","综合","3"
"狂风桑","2022第171期 06.24 - 06.30","猫：请你穿上衣服！！！","11727206","4609","1880","175570","64525","71913","595861","0","动物二创","5"
"尔东和小明","2022第171期 06.24 - 06.30","50块vs1000块的小提琴！哪一个比较猛？！","4955084","31398","3923","36920","138129","10800","401247","0","演奏","17"
"隽砂堂","2022第171期 06.24 - 06.30","用几分钟领略几千年的文化魅力。","7323737","15867","4884","106994","214014","8810","1052734","0","手工","12"
"真名有雪","2022第171期 06.24 - 06.30","再也回不到从前了","5080832","1846","3512","87070","60986","20566","398511","0","翻唱","40"
"绫人太太啊","2022第171期 06.24 - 06.30","《 奇 怪 的 鼠 鼠 增 加 了 》","10007559","2845","3143","146144","63530","57164","952313","0","搞笑","2"
"呼吸菌zZ","2022第171期 06.24 - 06.30","狗 子 偷 嘎 事 件","7870722","16974","4594","122255","169679","56147","511256","0","鬼畜剧场","6"
"矮乐多Aliga","2022第171期 06.24 - 06.30","⚡三 摇 嘲 讽⚡","8185971","2189","3564","223857","187720","30290","544094","0","明星舞蹈","8"
"腾格尔","2022第171期 06.24 - 06.30","【腾格尔X 文明与征服】⚡你 怎 么 睡 得 着⚡","4432316","2575","2519","32395","31762","19184","227918","0","MV","11"
"玩音乐的EZ","2022第171期 06.24 - 06.30","音乐家庭的媳妇是什么水平？真·全家人演奏的《HAVANA》","3096190","2731","1594","41795","55276","8405","349558","0","演奏","0"
"蒂姆嘟嘟Tim","2022第171期 06.24 - 06.30","当猫发现自己的项圈是声控灯，还会说话后…","4146558","15601","5630","58440","149522","42687","379949","0","喵星人","10"
"MEspace天植","2022第171期 06.24 - 06.30","微信看后说他DNA动了","6587983","1819","1506","93854","38675","7369","654502","0","绘画","7"
"哔哩哔哩弹幕网","2022第171期 06.24 - 06.30","BILIBILI 13周年庆","4844705","59437","10003","24226","41206","4849","129649","0","综艺","27"
"壶提提","2022第171期 06.24 - 06.30","贵州岜沙｜生于自然，归于自然","3585961","2376","2969","54935","57947","7699","475536","0","穿搭","6"
"凉风Kaze","2022第171期 06.24 - 06.30","央视记者：这就是二次元吗？【阅片无数Ⅱ 49】","2854920","11446","3572","15261","41256","3686","300648","0","搞笑","16"
"黄万有水彩","2022第171期 06.24 - 06.30","区区不锈钢套餐，何足挂齿","3190516","1663","1118","30483","9036","1830","363890","0","绘画","11"
"TheQ手工","2022第171期 06.24 - 06.30","半个轮胎＋半个轮胎＝一个轮胎","6984220","10218","5648","44723","52721","24934","327311","0","手工","13"
"light是光华","2022第171期 06.24 - 06.30","画画画！苦逼五年！都想要放弃了！","4878083","3783","6276","187669","368178","11982","1116632","0","短片·手书","2"
"杰威尔音乐","2022第171期 06.24 - 06.30","【4K|官方MV】周杰伦《稻香》回家吧,  回到最初的美好","2226469","1848","3601","39272","29515","5855","83117","0","MV","0"
"M木糖M","2022第171期 06.24 - 06.30","你从未见过的光影版本饥荒！【假如饥荒有光影和山脉】","4921847","7477","4511","81146","226810","19603","419461","0","单机游戏","8"
"阿靖zi-","2022第171期 06.24 - 06.30","广西少数民族之毛南族！我还是很有潜力的是吧","2103903","1086","1527","29908","22104","4130","374654","0","美妆护肤","98"
"小紧张的虫虫","2022第171期 06.24 - 06.30","必胜客158自助又来了,妹子一人来吃血赚还是血亏?","4374334","11780","3524","13704","47603","33823","214547","0","美食侦探","23"
"影视飓风","2022第171期 06.24 - 06.30","真刑啊！扮坏人遭阿特放警犬扑咬，慢放2000倍拍摄子弹出膛！","2756231","14636","2347","81283","184692","7029","316129","0","野生技能协会","14"
"美院安迪看艺术","2022第171期 06.24 - 06.30","买了她的毛 我是上当了还是赚了？","5176010","1202","2263","32065","10048","6873","329514","0","日常","31"
"青空-AoiSora","2022第171期 06.24 - 06.30","【原神动画】千岩牢固 重嶂不移","1622726","2587","1827","86880","128831","10234","261883","0","短片·手书","93"
"考拉做个东西","2022第171期 06.24 - 06.30","滴胶整个绝活，完美复刻夏日锦鲤水扇～","3345223","1853","1552","73005","42642","11204","300338","0","手工","62"
"张百乔","2022第171期 06.24 - 06.30","别被这些东西给害了！（百乔x朝阳禁毒）","5562066","3163","4018","70192","23443","27350","644792","0","搞笑","7"
"陨石张大福","2022第171期 06.24 - 06.30","【大福】圣主都来我这里进货 我做了一套会亮的符咒键帽","7096552","5238","6909","136428","162545","46583","777357","0","极客DIY","3"
"大碗拿铁","2022第171期 06.24 - 06.30","这玩意凭什么才卖一块钱？！","3360095","10349","6728","19312","48743","3520","235359","0","美食制作","21"
"白小纯2019","2022第171期 06.24 - 06.30","宇智波斑VS猗窝座（完整版）","3084628","9161","4701","71545","70355","18180","158947","0","综合","0"
"WASU的纸偶","2022第171期 06.24 - 06.30","百 业 通 才","6827280","3920","3629","158368","98757","25298","892216","0","综合","3"
"糖森君","2022第171期 06.24 - 06.30","「手书」想在你身边一年又一年","1053936","3211","4418","91885","118097","27316","155734","0","短片·手书","44"
"本喵叫兔兔","2022第171期 06.24 - 06.30","猫德学院的老弱病残和宁愿在大奔里哭也不愿在猫德学院笑的大奔","3136445","2400","2135","27777","231439","1572","420550","0","喵星人","10"
"杰威尔音乐","2022第172期 07.01 - 07.07","【最伟大的作品 | 官方MV 】周杰伦 化身时空旅人与艺术家们相遇","46416160","1207869","204542","1243491","2700925","819888","2934291","0","MV","1"
"吴木良","2022第172期 07.01 - 07.07","我为我的奶奶，拍了部“电影”","7625069","16402","5373","253732","1291298","12178","1797453","0","三农","1"
"一大筐会飞的草莓","2022第172期 07.01 - 07.07","爱 捣 蛋 的 嘎 子","9682981","30546","5860","261884","326101","68264","1141291","0","鬼畜剧场","2"
"老番茄","2022第172期 07.01 - 07.07","“明枪易躲，暗恋难防”","13941807","24480","21496","444919","524089","144251","1027594","0","原创音乐","1"
"霍顿","2022第172期 07.01 - 07.07","笑死！这才是《最伟大的作品》原版MV视频！！","4288627","7032","3701","91630","140165","54812","528911","0","综合","8"
"阿豆彩宝切割工作室","2022第172期 07.01 - 07.07","用玻璃切割一颗看起来百万的宝石！！身边的小伙伴都惊呆了！","14979865","18877","7013","133568","145218","18945","1133625","0","手工","14"
"梅尼耶","2022第172期 07.01 - 07.07","玫瑰花被摘了 你要怪摘花的人 而不是怪花开的艳","7505040","3492","6398","122496","144978","10393","1139247","0","短片","2"
"胖雪人Ozu","2022第172期 07.01 - 07.07","如果广告用了错误的音效……","8775289","23310","13508","85730","137541","29013","696869","0","搞笑","6"
"星有野","2022第172期 07.01 - 07.07","【  青春也好，当下最好  】","6167861","7925","4279","120979","268210","32216","576859","0","短片·手书","3"
"三代鹿人","2022第172期 07.01 - 07.07","为什么是《最伟大的作品》？","5605147","8227","13611","107364","243497","75707","533912","0","乐评盘点","3"
"神奇的老皮","2022第172期 07.01 - 07.07","【真人特效】仙侠剧都不敢这么拍！","6844038","18390","7221","74992","162062","41715","449266","0","搞笑","7"
"许里xurry","2022第172期 07.01 - 07.07","【原神大电影】旅行者，我们还能再见嘛？","6986665","14731","9688","452292","604525","139428","1001926","0","GMV","3"
"项真爽","2022第172期 07.01 - 07.07","这绝对是我这辈子干过最天才的事情！","12417831","11652","4570","116323","130765","47563","1331069","0","搞笑","2"
"原神","2022第172期 07.01 - 07.07","《原神》提瓦特风尚·衣装PV - 幕夜暗像","4607104","8796","26110","44708","62508","58391","336124","0","手机游戏","3"
"腿毛少女一目","2022第172期 07.01 - 07.07","童年雪糕，但是拟人","3250269","4475","4545","119618","65481","18844","512419","0","绘画","16"
"饲养员小谢","2022第172期 07.01 - 07.07","新婚半年，老公整晚打游戏不来睡觉，咋整啊","4970529","15777","6515","24742","160422","24882","257296","0","搞笑","13"
"大福咕咕","2022第172期 07.01 - 07.07","汤姆到底有多少条命?那些汤姆的奇葩死法！","11629160","54283","3705","153409","225292","13779","1053087","0","动漫杂谈","12"
"刘畊宏willliu","2022第172期 07.01 - 07.07","七月首跳｜新操《水手怕水》","4806697","1502","1435","47978","16231","8689","410217","0","健身","13"
"尴尬的铁根er","2022第172期 07.01 - 07.07","当兰陵王隐身进人堆开了个弱化","5105057","4751","3117","39098","70615","1659","304713","0","电子竞技","12"
"小叮当的一家","2022第172期 07.01 - 07.07","我妈真的很严格","8992705","3825","1632","67136","16498","7456","840882","0","搞笑","17"
"十代studio","2022第172期 07.01 - 07.07","新游戏·嘎子偷狗","2478336","5609","1091","32654","29836","11607","233874","0","鬼畜剧场","93"
"史蒂猪StevenPig","2022第172期 07.01 - 07.07","超平坦世界+惊变100天【大结局】活下去！","7047516","71707","5043","193681","317762","12156","639745","0","单机游戏","13"
"徐大虾咯","2022第172期 07.01 - 07.07","皇 城 P K ！【MC暮色森林#5】","3887947","31946","3688","60217","127580","2224","246986","0","单机游戏","9"
"鱼仔是真的狗","2022第172期 07.01 - 07.07","这小狗它说：~~~","4683449","813","1217","59807","16075","26283","637839","0","汪星人","20"
"暴走的沙福林","2022第172期 07.01 - 07.07","我绵良绵影只想过平静的生活（jojo不灭钻石op还原）","3202605","9544","2183","102331","240494","22690","291558","0","短片·手书","20"
"抑制意识","2022第172期 07.01 - 07.07","r̵͎̟̰͓̄̈̔̌̆̌̋͌̽̇͛͒e̶̲͓̠͖̠̝͕͍͙̗̳̊̃͑͑̾͂͒d҉͍̟͖͎̜̟͓̗̤͂͌̄͊̈    【oc|原创动画】毕设概念.但还没毕业","3089436","2372","3372","217133","182490","27000","376448","0","短片·手书","25"
"张镇辉台球教学","2022第172期 07.01 - 07.07","张镇辉台球正经教学【6个不太建议使用的技巧】14.0版本","4121831","4450","741","31103","28435","6541","364882","0","运动综合","36"
"小摩托今天弹琴了吗","2022第172期 07.01 - 07.07","【ipad古筝】无关风月 我题序等你回","5406500","1158","2614","89016","26345","24770","402233","0","演奏","20"
"花少北丶","2022第172期 07.01 - 07.07","对小学生来说幼稚 对我刚刚好","2037869","10560","6881","37955","75958","10299","185171","0","单机游戏","25"
"聒噪的山海君","2022第172期 07.01 - 07.07","《狗 头 吧 主》","4431684","2835","1507","28937","46407","17576","305181","0","电子竞技","35"
"敬汉卿","2022第172期 07.01 - 07.07","我跟着边境民警一起体验了他们的生活！有笑也有泪！","1951471","8748","2810","13036","65230","1946","172692","0","日常","57"
"倒悬的橘子","2022第172期 07.01 - 07.07","鸡你太美Remix，但是真ikun","8323184","26226","21805","174060","213497","105587","670475","0","鬼畜调教","3"
"小文哥吃吃吃","2022第172期 07.01 - 07.07","98斤的巨大龙趸，帅小伙一顿操作猛如虎，出锅后香的不行","3317747","7810","1739","11810","81097","4131","240471","0","美食制作","28"
"水果猎人杨晓洋","2022第172期 07.01 - 07.07","【水果猎人】网络热门水果鉴定11","6118961","4927","1583","29312","7572","2893","600415","0","科学科普","10"
"杰克辣条","2022第172期 07.01 - 07.07","《寻找田春山》","4726620","14114","9074","130061","591808","22992","700653","0","日常","69"
"啊吗粽","2022第172期 07.01 - 07.07","恋爱十年竟然同天生日，我送她这个当作生日礼物？？","1773019","19147","4782","58115","212201","16907","218373","0","日常","12"
"搞笑哈v","2022第172期 07.01 - 07.07","是个男孩斤六两","3831694","5648","4919","46253","42562","62886","400869","0","搞笑","31"
"垫底辣孩","2022第172期 07.01 - 07.07","挑战拍一组城市宣传大片之《四川·甘孜》","1054592","585","682","6658","7575","1404","153727","0","美妆护肤","0"
"叶的冒险","2022第172期 07.01 - 07.07","【大肚腩+高内脏脂肪】用整个七月份告别大肚子|高效去除腰腹赘肉|全程站立无跑跳|大体重友好","1493864","6671","7695","164892","65717","19905","68565","0","健身","77"
"papi酱","2022第172期 07.01 - 07.07","友情提示：本期视频仅是一个友情提示","8757945","14831","8532","82114","168057","51291","1145171","0","搞笑","4"
"ilem","2022第172期 07.01 - 07.07","洛天依 原创《大吉》","2583032","4676","10097","66582","93823","31251","185267","0","VOCALOID·UTAU","26"
"杰威尔音乐","2022第173期 07.08 - 07.14","【 还在流浪 | 官方MV 】周杰伦 第二首主打 方文山以「流浪」为主题 写出充满复古电影的感伤","13267698","171485","48032","234146","500250","160803","736651","0","MV","1"
